Time     	Unsubtracted	Baseline     	Program     	Sample     	Approx.     	Heat Flow
465,2	-0,312068	0	150	153,014648	0	1,480999
465,216667	-0,312068	0	150	153,013428	0	1,480999
465,233333	-0,313621	0	150	153,013123	0	1,480999
465,25	-0,313198	0	150	153,012817	0	1,480999
465,266667	-0,312845	0	150	153,012817	0	1,480999
465,283333	-0,312562	0	150	153,015564	0	1,480999
465,3	-0,312209	0	150	153,015259	0	1,480999
465,316667	-0,311715	0	150	153,014648	0	1,480999
465,333333	-0,311291	0	150	153,014648	0	1,480999
465,35	-0,311291	0	150	153,014038	0	1,480999
465,366667	-0,311009	0	150	153,012817	0	1,480999
465,383333	-0,311362	0	150	153,012817	0	1,480999
465,4	-0,309737	0	150	153,011581	0	1,480999
465,416667	-0,310867	0	150	153,011581	0	1,480999
465,433333	-0,311785	0	150	153,012512	0	1,480999
465,45	-0,31115	0	150	153,014038	0	1,480999
465,466667	-0,31115	0	150	153,015564	0	1,480999
465,483333	-0,31115	0	150	153,017105	0	1,480999
465,5	-0,311856	0	150	153,018021	0	1,480999
465,516667	-0,311644	0	150	153,019241	0	1,480999
465,533333	-0,311009	0	150	153,018936	0	1,480999
465,55	-0,31122	0	150	153,018936	0	1,480999
465,566667	-0,310797	0	150	153,019852	0	1,480999
465,583333	-0,310938	0	150	153,018936	0	1,480999
465,6	-0,310726	0	150	153,019241	0	1,480999
465,616667	-0,311291	0	150	153,018021	0	1,480999
465,633333	-0,31122	0	150	153,018021	0	1,480999
465,65	-0,311644	0	150	153,018936	0	1,480999
465,666667	-0,312068	0	150	153,020172	0	1,480999
465,683333	-0,311785	0	150	153,019241	0	1,480999
465,7	-0,311291	0	150	153,020172	0	1,480999
465,716667	-0,312209	0	150	153,019547	0	1,480999
465,733333	-0,312209	0	150	153,018631	0	1,480999
465,75	-0,311362	0	150	153,018021	0	1,480999
465,766667	-0,311927	0	150	153,018021	0	1,480999
465,783333	-0,311856	0	150	153,018326	0	1,480999
465,8	-0,311785	0	150	153,020782	0	1,480999
465,816667	-0,312068	0	150	153,021393	0	1,480999
465,833333	-0,312421	0	150	153,019547	0	1,480999
465,85	-0,312209	0	150	153,020172	0	1,480999
465,866667	-0,313198	0	150	153,022614	0	1,480999
465,883333	-0,313339	0	150	153,021698	0	1,480999
465,9	-0,312774	0	150	153,022308	0	1,480999
465,916667	-0,311715	0	150	153,02507	0	1,480999
465,933333	-0,31228	0	150	153,025986	0	1,480999
465,95	-0,312138	0	150	153,024765	0	1,480999
465,966667	-0,311927	0	150	153,02507	0	1,480999
465,983333	-0,312633	0	150	153,024765	0	1,480999
466	-0,313339	0	150	153,024155	0	1,480999
